,symptom,disease,treatment_drug,emergency_condition,treatment_drugs
45,"['Age', 'Coronary artery disease', 'Rheumatic heart disease', 'High blood pressure', 'Diabetes', 'An excess of thyroid hormones']",atrial-fibrillation,,"['Lifestyle changes', 'Cholesterol-lowering medications', 'Blood pressure medications', 'Angioplasty', 'Coronary artery bypass surgery']","['Eat a healthy diet, particularly avoiding foods rich in saturated fats or trans fats and refined carbohydrates.', 'Control cholesterol and high blood pressure.', 'Do not drink more than two alcoholic drinks per day.', 'Quit smoking.', 'Try to achieve a healthy weight.', 'Get regular exercise.']"
46,"['Stress or injury involving the back muscles, including back sprain or strain; chronic overload of back muscles caused by obesity; and short term overload of back muscles caused by any unusual stress, such as lifting or pregnancy', 'Disease or injury involving the back bones (vertebrae), including fracture from an accident or as a result of the bone-thinning disease osteoporosis', 'Degenerative arthritis, a ""wear and tear"" process that may be related to age, injury and genetic predisposition.', 'Disease or injury involving the spinal nerves, including nerve injury caused by a protruding disk (a fibrous cushion between vertebrae) or spinal stenosis (a narrowing of the spinal canal)', 'Kidney stones or a kidney infection (pyelonephritis).']",back-pain,,"['Maintaining good posture.', 'Sleeping on your side or on your back with a pillow under your knees if you can.', 'Exercising regularly, but stretch before and after.', 'Practicing abdominal crunches to strengthen abdominal muscles, which support your lower back. Also, walk or swim regularly to strengthen your lower back.', 'Always lifting objects from a squatting position, using your hips and your legs to do the heavy work. Avoid lifting, twisting and bending at the same time.']","['X-rays of your back', 'Blood test', 'Urine tests', 'Spinal magnetic resonance imaging (MRI)', 'Computed tomography (CT) scan', 'Nerve conduction studies and electromyography to determine whether nerves, muscles or both may be injured', 'Bone scan, especially if you have a previous history of cancer']"
47,"['Infections with yeast (Candida) or bacteria that live on the skin (the most common cause)', 'Sexually transmitted infections, such as herpes simplex', 'Irritation of the skin by soap, detergents or spermicidal jelly', 'Benign (noncancerous) skin conditions such as psoriasis', 'Some types of skin cancer (very rare)']",balanitis,,,"['You develop balanitis that does not respond to hygiene measures and an over-the-counter antifungal medication', ""Your physician's prescription does not appear to be curing your condition"", 'The balanitis keeps returning', 'You have diabetes, because balanitis may be a signal that your blood sugar is not well controlled.']"
48,,barium-enema,,,
49,"['Ear pain  ', 'A sensation that the ears are stuffed  ', 'A need to ""pop"" your ears by swallowing, yawning or chewing gum ']",barotrauma,,,
50,"['Use our A-Z list of drugs to find medications by brand or generic name.', 'Find treatment options by disease or condition.', 'Identify unknown pills by using our pill identifier tool.', 'Check for drug interactions to identify potentially harmful and unsafe combinations of prescription medications.', 'Stay up-to-date with the latest drug news and FDA updates on prescription medications.', 'Start over on our home page, view our complete sitemap, or use the search box above.']",bartholin's-gland-cyst,,,
51,"['Apply sunscreen with a sun protection factor (SPF) of 30 or higher before you go outdoors.', 'Limit your time outdoors when the sun is at its peak (in most parts of the United States, from about 10 a.m. to 3 p.m.).', 'Wear sunglasses with ultraviolet light protection.', 'Wear long pants, a shirt with long sleeves and a hat with a wide brim.', ""Be aware that some drugs may increase your skin's risk of damage from the sun. These include certain antibiotics, and drugs used to treat psychiatric illness, high blood pressure, heart failure, acne and allergies. If you take prescription medications, ask your doctor if you need to take extra precautions to limit sun exposure."", 'Be aware that some skin care products can make your skin more vulnerable to damage from sunlight. These include products containing alpha-hydroxy acids.']",basal-cell-carcinoma,,"['The size and location of the cancer', 'Whether it has returned after previous treatment', 'Age', 'A patient’s general health.']","['Topical fluorouracil, an anticancer drug applied directly to the skin', 'Topical imiquimod cream (Aldara) for very superficial basal cell skin cancers', 'Chemotherapy injected directly into the tumor', 'Photodynamic therapy, which kills cancer with chemicals and light']"
52,"['Use our A-Z list of drugs to find medications by brand or generic name.', 'Find treatment options by disease or condition.', 'Identify unknown pills by using our pill identifier tool.', 'Check for drug interactions to identify potentially harmful and unsafe combinations of prescription medications.', 'Stay up-to-date with the latest drug news and FDA updates on prescription medications.', 'Start over on our home page, view our complete sitemap, or use the search box above.']",behcet's-disease,,,
53,"['Use our A-Z list of drugs to find medications by brand or generic name.', 'Find treatment options by disease or condition.', 'Identify unknown pills by using our pill identifier tool.', 'Check for drug interactions to identify potentially harmful and unsafe combinations of prescription medications.', 'Stay up-to-date with the latest drug news and FDA updates on prescription medications.', 'Start over on our home page, view our complete sitemap, or use the search box above.']",bell's-palsy,,,
54,"['Yellowing of the skin (jaundice) or eyes (icterus), from the buildup of a waste product called bilirubin', 'Itching (not limited to one area; may be worse at night or in warm weather)', 'Light brown urine', 'Fatigue', 'Weight loss', 'Fever or night sweats', 'Abdominal pain, especially common on the right side under the rib cage', 'Greasy or clay-colored stools', 'A diminished appetite']",bile-duct-diseases,,,
55,,biliary-colic,,,
56,"['Chronic pain ', 'Temporomandibular joint (TMJ) disorders ', 'Digestive disorders, including constipation ', 'Incontinence (both urinary and fecal)  ', 'High blood pressure (hypertension) ', 'Abnormal heart rhythms (cardiac arrhythmias) ', 'Addiction, including to alcohol ', 'Epilepsy ', 'Paralysis and certain movement disorders ', 'Spinal cord injury ', 'Sleep disorders ', 'Premenstrual syndrome (PMS)  ', 'Bedwetting (enuresis)', 'Attention-deficit disorder (ADD) and attention-deficit hyperactivity disorder (ADHD) ', 'Panic disorder  ', 'Anxiety disorder ']",biofeedback,,,
57,['Skin biopsy — A sample of skin tissue is removed with a scalpel or punch tool.'],biopsy,,,
58,,biopsy-of-the-prostate-and-transrectal-ultrasound,,,
59,"['Use appropriate protective eyewear at work. Studies have shown that face shields, goggles and other protective eyewear can reduce the risk of work-related eye injuries by more than 90%. ', 'If you are an athlete, ask an experienced ophthalmologist, optometrist or optician for help in selecting protective eyewear that is appropriate for your sport. Baseball and basketball cause the greatest number of eye injuries. When a baseball or basketball strikes the eye, there is a risk of more serious trauma, including fractures of the eye socket. ', 'Boxing is a common cause of black eyes The American Academy of Pediatrics opposes the sport of boxing for young people. ', 'Always ""buckle up"" when you ride in a car. Seat belts and shoulder harnesses help to protect your eyes, facial bones and upper body from dashboard impacts and other injuries, even if your car is equipped with airbags. ', 'For youth who play baseball, eye injuries can be reduced by using face masks and safety balls, which are balls that cause less injury when they strike a person. Safety balls include rubber balls, tennis balls and special ""reduced-impact"" balls that have a softer core. ']",black-eye,,,
